UC1,UC2,UC3,UC4,IUC
57.000000,21.670095,27.816978,20.687297,40.195728
58.000000,21.197013,26.789328,20.800226,40.464428
52.000000,22.005249,26.005316,20.764558,37.462520
66.500000,23.016677,30.786231,22.502385,35.701323
54.500000,18.209978,26.003188,19.632363,29.586382
62.000000,21.407728,30.649792,21.581785,33.909826
62.500000,22.824498,31.019792,21.966733,43.885171
56.500000,23.951354,25.678325,21.165066,40.049124
53.500000,20.497918,26.462861,20.078123,37.923150
64.500000,30.322847,32.559681,23.341482,46.620668
66.000000,25.200925,29.948906,22.674760,45.970765
54.000000,21.811776,27.765357,20.825218,38.733725
58.000000,22.183972,28.505556,21.422203,41.018622
56.500000,24.969457,26.837034,20.915230,40.370287
61.000000,22.365773,27.072178,21.354877,42.298805
59.500000,23.605736,28.446165,21.347281,41.983197
63.000000,28.974242,31.871766,22.824557,45.445094
59.500000,22.982626,30.901263,21.785393,42.361547
63.000000,30.551610,32.244391,23.227608,45.837268
58.000000,21.181591,29.271560,20.930002,32.345788
61.000000,21.153201,28.189331,20.817967,42.193416
60.500000,19.395548,29.018805,20.566068,32.370105
65.000000,28.817578,31.715064,23.382913,46.485926
58.000000,21.615148,29.141662,21.267945,41.004126
62.000000,29.586336,33.239680,23.975066,45.466847
59.000000,23.781361,27.514486,21.453416,41.624877
61.500000,23.509863,32.608248,23.001895,35.155002
59.500000,26.214436,31.621075,22.637915,43.162238
62.000000,25.909789,31.965272,22.327687,44.367125
57.000000,24.064001,28.836113,21.182870,40.847164
55.500000,27.401709,28.118585,22.184367,40.700777
64.000000,23.271438,30.689775,22.327650,35.072216
62.000000,25.858155,31.507866,22.585424,44.325241
56.000000,27.120236,29.111116,22.741345,41.162116
65.500000,20.959242,33.268360,22.205074,35.483169
61.000000,23.654002,29.239683,21.713921,42.934601
53.000000,20.623384,25.517177,20.341430,37.580332
63.000000,24.345770,30.088435,21.833414,44.211270
60.000000,25.846733,34.314920,23.421740,43.930565
62.500000,19.725213,28.459117,20.492415,32.794186
70.500000,27.147157,36.824976,23.902441,39.593643
58.500000,19.419410,25.595688,19.877827,40.065488
62.500000,23.559278,30.473847,22.376807,43.984989
57.000000,22.748246,29.936944,21.746651,40.905307
60.000000,24.457034,30.801967,21.800194,42.843199
62.000000,23.316491,29.428548,21.378853,43.353982
58.000000,23.365694,28.155618,21.991075,41.252064
63.000000,24.312645,30.090107,21.997537,44.233382
56.500000,25.971228,29.993750,22.442450,41.317905
60.500000,22.038083,29.876930,21.724850,33.534966
62.000000,25.542830,28.132159,22.234267,43.651543
55.000000,20.027881,26.982401,20.368535,38.729803
67.500000,27.089156,35.134382,23.731892,48.075905
64.000000,26.152551,31.013247,22.918785,45.347431
53.000000,22.713389,30.656140,21.370605,38.956689
54.500000,22.033237,27.719535,21.165068,39.069640
59.000000,22.051351,26.420155,20.639382,41.018481
