White noise,Positive bias,Negative bias
22.540639,21.535997,23.580693
22.603620,21.518249,23.804386
22.472512,21.606389,23.761671
22.680582,21.505429,23.772605
22.595271,21.524081,23.726948
22.576346,21.407430,23.840107
22.534642,21.625325,23.700793
22.552157,21.562837,23.600506
22.614345,21.468584,23.691651
22.548347,21.465556,23.618022
22.549561,21.485338,23.640016
22.544408,21.482287,23.740729
22.633752,21.480268,23.756980
22.615015,21.506317,23.761023
22.472217,21.572951,23.637885
22.637462,21.516676,23.744249
22.583886,21.482017,23.624626
22.541608,21.544059,23.715709
22.475378,21.552761,23.782356
22.599190,21.537095,23.733319
22.560962,21.521038,23.763292
22.590244,21.545835,23.702133
22.676976,21.635244,23.690420
22.587988,21.600700,23.753646
22.572051,21.349403,23.738178
22.596205,21.581430,23.738846
22.566678,21.508582,23.730300
22.557705,21.541961,23.665492
22.512067,21.361717,23.512398
22.649735,21.634908,23.745444
22.624053,21.442429,23.551545
22.635931,21.459296,23.687121
22.677308,21.623968,23.758960
22.639587,21.514628,23.719622
22.661057,21.417744,23.648416
22.470908,21.442172,23.491256
22.475985,21.501470,23.686190
22.580361,21.536554,23.612907
22.596659,21.446175,23.739261
22.531431,21.571450,23.619763
22.528770,21.450241,23.758897
22.530294,21.541783,23.637598
22.522362,21.459933,23.725811
22.639351,21.528073,23.658042
22.594140,21.461033,23.623215
22.582049,21.594418,23.591956
22.597310,21.518178,23.664861
22.521510,21.555739,23.711824
22.542191,21.538030,23.698009
22.501618,21.586767,23.718965
22.608657,21.484546,23.664852
22.548292,21.551381,23.710010
22.577019,21.638531,23.511044
22.565611,21.549491,23.698746
22.567853,21.420114,23.590397
22.482353,21.448118,23.641235
22.550559,21.472221,23.722170
22.665429,21.555228,23.683982
22.519531,21.466134,23.611818
22.602972,21.446277,23.603020
22.596632,21.646769,23.784621
22.575205,21.484076,23.690210
22.547879,21.575839,23.710056
22.677521,21.514899,23.634557
22.539470,21.579214,23.685548
22.611177,21.410286,23.644241
22.480736,21.476063,23.560153
22.536975,21.468634,23.687574
22.566292,21.425981,23.743834
22.580202,21.557210,23.659107
22.690335,21.528577,23.788198
22.550960,21.555599,23.758514
22.586686,21.486921,23.579544
22.506431,21.550653,23.660465
22.669861,21.556033,23.644808
22.495170,21.467206,23.650897
22.684925,21.569722,23.739534
22.492743,21.596317,23.734784
22.623856,21.484248,23.652566
22.613462,21.537602,23.633782
22.598870,21.473022,23.762162
22.568831,21.672071,23.513365
22.554899,21.527713,23.523301
22.535299,21.649617,23.621629
22.437128,21.583260,23.656352
22.615570,21.555478,23.748091
22.682127,21.577646,23.653938
