UC1,UC2,UC3,UC4,IUC
54.500000,23.719799,28.393618,21.254882,39.478050
54.000000,18.780341,25.683274,19.344257,37.634645
60.000000,25.046347,31.229034,22.445902,43.120214
53.500000,22.620586,25.664058,20.731712,38.252726
56.000000,23.612070,29.168244,21.716096,40.416068
52.500000,24.633284,29.029812,21.780585,38.823947
53.000000,19.773631,27.783597,20.043435,37.766777
61.500000,24.002127,30.103449,22.464185,43.511627
54.000000,22.279932,29.183831,21.441997,39.150960
58.500000,22.510293,29.685080,21.499337,41.532452
56.000000,18.488309,27.803010,20.220810,39.085355
55.500000,27.766544,23.932206,21.626341,39.970849
57.500000,21.216209,28.649213,21.084578,40.575000
59.500000,25.032919,27.974379,21.907184,42.235747
59.000000,22.282401,30.870792,21.732283,41.980913
53.500000,19.474143,25.495764,19.965872,37.572630
57.500000,21.308773,29.456503,21.071691,40.722828
61.500000,27.159746,29.828401,22.806974,44.049187
59.500000,21.494781,30.055560,21.385271,41.905935
53.000000,20.836015,27.443490,20.698258,37.996294
57.500000,25.829604,31.404947,22.557305,42.048643
58.500000,20.766083,28.018393,20.985183,40.878276
53.000000,19.967953,27.415815,20.164903,37.758112
57.000000,25.885743,32.433528,22.547727,41.977833
54.500000,20.944280,27.663169,20.297691,38.734190
56.500000,22.134560,29.196108,21.143183,40.328975
57.000000,19.117463,25.965080,20.095114,39.362943
58.500000,21.437019,28.099915,20.992518,41.004909
59.500000,23.845202,26.658248,21.563082,41.761089
57.000000,20.455154,29.367478,20.675344,40.249663
60.000000,21.084167,28.578881,20.922851,41.764317
59.500000,25.164835,30.590724,22.320867,42.762738
46.000000,15.871199,25.213186,18.125385,32.868295
54.000000,23.347944,30.530944,21.729424,39.601385
60.000000,22.454534,26.741590,21.253012,41.741523
61.000000,26.075831,31.110267,22.534607,43.786784
56.500000,26.103602,25.880808,21.726127,40.535089
62.000000,25.757483,34.357100,23.050208,44.860799
58.500000,21.782316,29.872181,20.843714,41.333035
63.500000,22.342171,32.862137,22.550361,35.313667
59.500000,20.001715,28.908066,20.748964,41.359791
58.000000,24.371592,30.213624,21.814254,41.733245
56.500000,20.830891,27.145893,20.358277,39.639177
68.000000,25.259308,32.200825,23.198673,47.443134
56.000000,20.794127,28.408524,21.382346,39.764166
60.500000,21.762163,28.736987,20.999864,42.166502
60.500000,23.943230,32.585114,22.389603,43.402991
57.000000,23.909860,32.573289,22.354486,41.639606
57.000000,27.149844,31.658725,21.834968,41.940589
55.500000,24.255986,27.704869,21.588735,40.008265
51.500000,20.191235,27.703546,20.433624,37.138068
49.500000,19.265861,26.872417,19.469884,35.684694
64.000000,27.787816,31.092551,22.278398,45.526461
58.500000,22.689841,29.854235,21.646263,41.615056
66.000000,22.461209,31.288257,22.490241,35.559927
60.500000,23.311348,31.168555,22.283898,43.043967
56.500000,18.619973,26.245030,19.787830,39.025472
58.000000,23.936301,31.441520,22.197584,41.929234
53.000000,17.602936,24.766162,18.813650,36.697125
57.000000,30.199214,33.028558,23.586313,42.969014
50.500000,17.419610,27.221755,19.146377,35.881290
58.500000,22.380539,27.479384,20.877985,41.039651
59.000000,22.513461,31.712499,21.936080,42.193673
62.000000,22.518396,33.121687,22.399384,44.006578
59.000000,26.476329,31.296273,22.264990,42.839599
57.000000,24.382567,29.556791,21.209700,41.024843
60.500000,28.176345,34.289230,23.751069,44.619441
53.500000,22.690421,29.804635,22.207757,39.200469
